,0
0,44100.47621565665
1,49588.69767132701
2,43034.507813662516
3,40146.49851279043
4,40146.49851279043
5,43065.47559743507
6,43185.914645346216
7,41048.851813907066
8,46340.98596068875
9,40338.653658696
10,42038.05596311399
11,43867.853342484006
12,42834.257535025776
13,42327.849620217865
14,46199.962489731275
15,42506.94248269046
16,43471.45455981393
17,41625.67930965827
18,45063.880770335316
19,42147.162295732975
20,45250.613064335084
21,42986.52789102405
22,42266.09887704652
23,56396.715507484274
24,41208.63003330443
25,46867.34261055873
26,44793.23703886319
27,64263.86463692203
28,43581.696546380976
29,41033.05802537724
30,42341.27449317778
31,56789.99523744975
32,42125.22654921994
33,42812.76141955144
34,43471.45455981393
35,65313.119496516956
36,45596.164222227286
37,43184.64191547504
38,42721.966420300014
39,41577.84275469176
40,41469.04109925975
41,41664.902737319215
42,67178.00973369433
43,40692.95179570295
44,44778.34620085028
45,41818.8843394388
46,56088.429185632274
47,40332.57633167461
48,43581.696546380976
49,43065.47559743507
50,47424.46396586453
51,42125.22654921994
52,40286.515936020514
53,43163.55729119855
54,41625.67930965827
55,40907.43317125673
56,41165.810695637076
57,44548.169828332764
58,42555.28290719788
59,46844.96685422505
60,40032.19120324692
61,65163.20460766391
62,40715.72448213148
63,45407.01271105665
64,42906.61948731538
65,65313.119496516956
66,55896.11114415653
67,48718.852995384914
68,41721.62928917982
69,43251.23440554908
70,41920.62078665768
71,46121.26038918319
72,44139.77811194387
73,43065.47559743507
74,58345.879222567266
75,43185.914645346216
76,40547.41963618605
77,42555.28290719788
78,40656.5024380417
79,43185.914645346216
80,42125.22654921994
81,57728.43979495643
82,44637.3227298928
83,42967.464590474134
84,42150.80016661784
85,65532.87039352717
86,40057.345766469254
87,39639.39732969796
88,42743.117966302474
89,42555.28290719788
90,55977.1158542648
91,42214.95599851415
92,42967.464590474134
93,42967.464590474134
94,45227.4312296839
95,43533.16197680741
96,41721.62928917982
97,40372.170318339275
98,41696.32692190758
99,42076.41520269434
100,42108.48304821239
101,55428.29066112508
102,42125.22654921994
103,66379.9530637
104,41099.04977407312
105,56088.429185632274
106,39463.329422873736
107,44564.297832396376
108,65293.650330904195
109,40830.39081137909
110,40948.84024181629
111,39808.73806986649
112,41535.87006522955
113,42715.60263526772
114,44637.3227298928
115,40585.63042101012
116,41920.62078665768
117,45458.29547529752
118,40210.20300147438
119,43251.23440554908
120,45086.40775872641
121,41706.44451300891
122,40547.41963618605
123,43185.914645346216
124,41280.5863970515
125,66688.24074746175
126,43689.80018720592
127,40912.629716775264
128,42125.22654921994
129,38561.76826254204
130,42733.223072844565
131,40528.553625356944
132,76386.97425797384
133,42341.27449317778
134,39463.329422873736
135,40372.170318339275
136,44064.82775487648
137,46473.70271970425
138,42555.28290719788
139,40707.466013017605
140,42778.25578887442
141,42463.673284346
142,39489.136965386344
143,42765.596016357886
144,39232.19124825491
145,41448.055272095866
146,49573.21315847826
147,44793.23703886319
148,43029.05240902049
149,42721.966420300014
150,43163.55729119855
151,45170.040339959385
152,43170.07587997798
153,39870.72920846559
154,42021.304093499275
155,42075.657234396225
156,47349.020016087095
157,42061.241917585634
158,43170.07587997798
159,39808.73806986649
160,43185.914645346216
161,40032.19120324692
162,39777.59449878014
163,44921.323054127555
164,42125.22654921994
165,45643.73551502813
166,43005.54109453184
167,43514.6907982117
168,43514.6907982117
169,42125.22654921994
170,65112.13708624863
171,42348.81319450524
172,45122.83094714099
173,42812.76141955144
174,42075.657234396225
175,41721.62928917982
176,40896.14412744725
177,41721.62928917982
178,41741.52930292914
179,58548.77090621659
180,39291.95610958895
181,39291.95610958895
182,44844.90571695576
183,42588.10922430892
184,40948.84024181629
185,43655.71426916918
186,42338.25701618357
187,43005.54109453184
188,38598.04003328309
189,40346.773316712846
190,42070.02448814193
191,42967.464590474134
192,55755.223485085204
193,42341.27449317778
194,42068.26854318869
195,42103.973772781836
196,41262.9449693289
197,41535.87006522955
198,40993.188386273294
199,38770.47696464854
200,63969.75365063458
201,51504.860722061305
202,42125.22654921994
203,42737.787181832166
204,42074.67555880966
205,45596.164222227286
206,43217.26275424932
207,41024.409521485395
208,42782.31738530609
209,67334.48177878227
210,55503.680302242305
211,43170.07587997798
212,40018.7616218312
213,45745.48924502101
214,40879.29893919613
215,42764.322984492166
216,48538.07418707139
217,42710.70704214389
218,42021.304093499275
219,41280.5863970515
220,40504.4000110224
221,42191.75131572958
222,42367.84934070513
223,41222.27754297269
224,42574.57916431023
225,63294.13986662305
226,41208.63003330443
227,43185.914645346216
228,45980.23691822572
229,45572.046147917594
230,64940.33948675826
231,39696.63463243673
232,41176.359763910375
233,62539.53102172694
234,64636.644646680725
235,45745.48924502101
236,39411.24435534655
237,45007.70565817835
238,41589.037169618474
239,64636.644646680725
240,65342.52830701694
241,41712.24087973746
242,55362.57724237074
243,40658.08305086363
244,40879.29893919613
245,62177.007522629996
246,56223.98068472138
247,40332.250240767215
248,39777.59449878014
249,41657.39306079896
250,42588.10922430892
251,58345.879222567266
252,42506.94248269046
253,42466.82252618069
254,63015.02346129483
255,45980.23691822572
256,41696.32692190758
257,42531.95851821012
258,46199.962489731275
259,42341.27449317778
260,41754.731143747704
261,55755.223485085204
262,42094.656951788944
263,56223.98068472138
264,45086.40775872641
265,43029.05240902049
266,66801.90086261617
267,44294.05680387375
268,41721.62928917982
269,40966.879571727535
270,42341.27449317778
271,45572.046147917594
272,43185.914645346216
273,39463.329422873736
274,56373.275882902955
275,43065.47559743507
276,41752.51604864628
277,46199.962489731275
278,45627.46751471496
279,42147.162295732975
280,43770.565390556556
281,39865.31578804165
282,55679.73338867504
283,45745.48924502101
284,41706.11292653841
285,40608.19997153906
286,41007.580447062435
287,46199.962489731275
288,40209.21350228066
289,40524.49720924703
290,45430.49310232248
291,49591.515006583984
292,45170.040339959385
293,42506.94248269046
294,53511.65184706964
295,42138.132887195796
296,62562.75302570236
297,42555.28290719788
298,44802.8522632924
299,55362.57724237074
300,41280.5863970515
301,39808.73806986649
302,42581.77126498456
303,62177.007522629996
304,41706.44451300891
305,40478.421555709334
306,42591.04794412584
307,42812.76141955144
308,41457.45349759148
309,43185.914645346216
310,55755.223485085204
311,39808.73806986649
312,42092.975729545324
313,39463.329422873736
314,44778.34620085028
315,43595.98024586519
316,40547.41963618605
317,41099.04977407312
318,41696.32692190758
319,40879.29893919613
320,42669.46451176391
321,41920.62078665768
322,42341.27449317778
323,42074.67555880966
324,40547.41963618605
325,48183.6151138749
326,40966.879571727535
327,41535.87006522955
328,40585.63042101012
329,42860.235065231136
330,43029.05240902049
331,55844.25365194539
332,43163.55729119855
333,41503.02556576882
334,41706.44451300891
335,65018.85636674071
336,65112.13708624863
337,42937.293289966605
338,42021.304093499275
